date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2017-01-18,8℃,5℃,小雨,东北风,3-4级,67,良,2
2017-01-19,8℃,-2℃,阴~晴,西北风,1-2级,116,轻度污染,3
2017-01-20,6℃,-4℃,多云,北风,3-4级,86,良,2
2017-01-21,6℃,-2℃,多云,西南风,1-2级,61,良,2
2017-01-22,5℃,-4℃,多云,西北风,3-4级,83,良,2
2017-01-23,7℃,-1℃,多云,东风,1-2级,60,良,2
2017-01-24,9℃,2℃,多云,东南风,1-2级,46,优,1
2017-01-25,11℃,2℃,多云,东风,3-4级,82,良,2
2017-01-26,13℃,4℃,多云,东南风,1-2级,85,良,2
2017-01-27,9℃,3℃,多云,东北风,4-5级,97,良,2
2017-01-28,14℃,8℃,多云,东南风,3-4级,74,良,2
2017-01-29,17℃,1℃,小雨,北风,3-4级,85,良,2
