date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-11-13,11℃,3℃,霾,无持续风向,微风,119,轻度污染,3
2016-11-14,13℃,-2℃,多云~晴,北风,4-5级,85,良,2
2016-11-15,10℃,-1℃,晴~多云,无持续风向,微风,53,良,2
2016-11-16,12℃,2℃,霾,无持续风向,微风,130,轻度污染,3
2016-11-17,7℃,5℃,霾,无持续风向,微风,136,轻度污染,3
2016-11-18,11℃,7℃,霾,无持续风向,微风,230,重度污染,5
2016-11-19,14℃,3℃,多云~小雨,北风,3-4级,181,中度污染,4
2016-11-20,4℃,-1℃,雨夹雪~暴雪,无持续风向,微风,84,良,2
2016-11-21,0℃,-10℃,小雪~阴,北风,3-4级,19,优,1
2016-11-22,1℃,-8℃,晴~多云,北风,3-4级,26,优,1
2016-11-23,3℃,-7℃,晴,无持续风向,微风,50,优,1
2016-11-24,5℃,-6℃,晴,无持续风向,微风,107,轻度污染,3
2016-11-25,5℃,-4℃,霾,无持续风向,微风,216,重度污染,5
2016-11-26,9℃,-3℃,晴,无持续风向,微风,365,严重污染,6
2016-11-27,8℃,-4℃,晴,北风,3-4级,89,良,2
2016-11-28,9℃,-3℃,晴~霾,无持续风向,微风,100,良,2
2016-11-29,4℃,-3℃,雨夹雪,无持续风向,微风,134,轻度污染,3
2016-11-30,9℃,0℃,霾~晴,无持续风向,微风,146,轻度污染,3
2016-12-01,10℃,-4℃,晴,南风,1-2级,48,优,1
2016-12-02,10℃,-3℃,晴~霾,无持续风向,微风,159,中度污染,4
2016-12-03,10℃,-2℃,霾,南风,1-2级,263,重度污染,5
2016-12-04,9℃,-2℃,霾~阴,无持续风向,微风,354,严重污染,6
2016-12-05,7℃,-5℃,多云~晴,西北风,3-4级,82,良,2
2016-12-06,7℃,-2℃,多云,无持续风向,微风,108,轻度污染,3
2016-12-07,9℃,-2℃,晴~阴,东南风,1-2级,191,中度污染,4
2016-12-08,8℃,-2℃,晴,北风,4-5级,157,中度污染,4
2016-12-09,5℃,-5℃,晴~霾,南风,1-2级,32,优,1
2016-12-10,6℃,-4℃,晴~霾,南风,1-2级,72,良,2
2016-12-11,5℃,-1℃,霾,南风,1-2级,237,重度污染,5
2016-12-12,4℃,-2℃,霾,北风,1-2级,273,重度污染,5
2016-12-13,3℃,-7℃,多云~晴,北风,1-2级,85,良,2
2016-12-14,2℃,-6℃,晴,北风,1-2级,41,优,1
2016-12-15,7℃,-6℃,晴,北风,3-4级,54,良,2
2016-12-16,7℃,-6℃,晴,南风,1-2级,224,重度污染,5
2016-12-17,8℃,-4℃,霾,南风,1-2级,272,重度污染,5
2016-12-18,8℃,-4℃,霾,南风,1-2级,320,严重污染,6
2016-12-19,9℃,-3℃,霾,南风,1-2级,326,严重污染,6
2016-12-20,8℃,-1℃,霾,南风,1-2级,433,严重污染,6
2016-12-21,4℃,-3℃,霾,北风,1-2级,450,严重污染,6
2016-12-22,7℃,-4℃,多云~晴,北风,3-4级,114,轻度污染,3
2016-12-23,4℃,-6℃,晴,南风,1-2级,45,优,1
2016-12-24,5℃,-4℃,多云,南风,1-2级,157,中度污染,4
2016-12-25,3℃,-2℃,霾~雨夹雪,南风,1-2级,199,中度污染,4
2016-12-26,4℃,-7℃,阴~多云,南风,1-2级,72,良,2
