date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2017-01-08,5℃,-2℃,小雨~多云,东北风,4-5级,55,良,2
2017-01-09,2℃,-4℃,多云,北风,5-6级,58,良,2
2017-01-10,1℃,-3℃,晴,西北风,5-6级,50,优,1
2017-01-11,5℃,-2℃,晴,西南风,4-5级,58,良,2
2017-01-12,4℃,-3℃,晴~多云,西北风,3-4级,125,轻度污染,3
2017-01-13,1℃,-3℃,阵雪~多云,西北风,5-6级,55,良,2
2017-01-14,-1℃,-3℃,阵雪~阴,西北风,5-6级,42,优,1
2017-01-15,0℃,-3℃,多云~晴,北风,3-4级,30,优,1
2017-01-16,2℃,-4℃,晴,北风,3-4级,66,良,2
2017-01-17,5℃,-1℃,阴~多云,南风,3-4级,113,轻度污染,3
2017-01-18,4℃,-3℃,多云~阴,北风,3-4级,137,轻度污染,3
2017-01-19,3℃,-5℃,雨夹雪~暴雪,北风,6-7级,125,轻度污染,3
